week,category_id,best_model,forecast_units,lower_80,upper_80
2017-10-09,45,naive,3.0,0.0,23.5
2017-10-16,45,naive,3.0,0.0,23.5
2017-10-23,45,naive,3.0,0.0,23.5
2017-10-30,45,naive,3.0,0.0,23.5
2017-10-09,17,prophet,412.9,345.6,477.6
2017-10-16,17,prophet,454.6,390.3,522.1
2017-10-23,17,prophet,499.7,436.3,565.8
2017-10-30,17,prophet,514.7,448.1,580.2
2017-10-09,43,sarima,69.0,45.9,92.1
2017-10-16,43,sarima,71.0,46.6,95.4
2017-10-23,43,sarima,78.0,53.0,103.0
2017-10-30,43,sarima,91.2,65.7,116.7
2017-10-09,9,naive,18.0,0.0,65.2
2017-10-16,9,naive,18.0,0.0,65.2
2017-10-23,9,naive,18.0,0.0,65.2
2017-10-30,9,naive,18.0,0.0,65.2
2017-10-09,24,naive,25.0,0.0,97.6
2017-10-16,24,naive,25.0,0.0,97.6
2017-10-23,24,naive,25.0,0.0,97.6
2017-10-30,24,naive,25.0,0.0,97.6
